BSA (m^2),"RVED Anterior Wall Thickness, 50th Percentile (cm)","RVED Anterior Wall Thickness, 5th Percentile (cm)","RVED Anterior Wall Thickness, 95th Percentile (cm)"
0.306953235,0.19682688,0.207621772,0.187330621
0.332056764,0.19821067,0.20843741,0.18903907
0.358305192,0.199404859,0.20946927,0.190557918
0.386749098,0.201059285,0.210636708,0.192374672
0.410741332,0.202333596,0.21158636,0.194054807
0.434725571,0.203679069,0.21252601,0.195724938
0.458717805,0.20495338,0.213475663,0.197242743
0.482706041,0.206263272,0.214217403,0.198227977
0.506696276,0.207555374,0.215347176,0.198951926
0.530694507,0.208776314,0.216243457,0.199929373
0.554716725,0.20978377,0.217250913,0.20061217
0.578760931,0.210595531,0.218062674,0.201423931
0.60279914,0.211460663,0.219008971,0.20204557
0.626827355,0.212414748,0.219881891,0.202837325
0.650859567,0.213333252,0.220881559,0.203674664
0.674889781,0.214269546,0.221817853,0.204448629
0.69892799,0.215134678,0.222764151,0.205232597
0.722968198,0.21598202,0.223611493,0.206079939
0.747000411,0.216900524,0.224529996,0.206754949
0.771042618,0.217730075,0.225521877,0.207665665
