BSA (m^2),"RVED Anterior Wall Thickness, 50th Percentile (mm)","RVED Anterior Wall Thickness, 90th Percentile (mm)","RVED Anterior Wall Thickness, 10th Percentile (mm)"
0.097333333,2.376,3.424,1.683
0.124,2.435,3.513,1.756
0.149,2.509,3.587,1.756
0.178333333,2.539,3.646,1.756
0.206666667,2.539,3.661,1.771
0.233666667,2.554,3.675,1.771
0.264666667,2.583,3.72,1.801
0.298666667,2.642,3.734,1.815
0.334,2.686,3.764,1.86
0.371333333,2.701,3.779,1.875
0.410666667,2.701,3.838,1.875
0.449666667,2.701,3.852,1.875
0.483666667,2.701,3.867,1.889
0.515666667,2.716,3.882,1.889
0.544666667,2.76,3.882,1.889
0.575666667,2.804,3.911,1.889
0.613666667,2.804,3.926,1.904
0.657333333,2.819,3.956,1.904
0.696,2.834,4.015,1.904
0.741666667,2.849,4.044,1.919
0.789333333,2.878,4.089,1.919
0.835,2.878,4.103,2.022
0.877333333,2.878,4.103,2.214
0.922666667,2.893,4.148,2.229
0.963666667,2.893,4.148,2.229
1.013333333,2.908,4.148,2.258
1.055333333,2.908,4.177,2.303
1.116666667,2.908,4.192,2.303
1.173666667,2.923,4.192,2.332
1.237,2.923,4.207,2.347
1.291666667,2.937,4.221,2.406
1.349333333,2.937,4.251,2.421
1.416333333,2.937,4.251,2.48
1.470333333,2.967,4.251,2.509
1.523333333,2.967,4.28,2.524
1.582666667,3.011,4.28,2.568
1.649,3.011,4.295,2.657
1.701,3.055,4.295,2.657
1.773666667,3.07,4.31,2.672
1.843666667,3.085,4.31,2.686
