BSA (m^2),"LVEDV, +2 SD (mL)"
0.220400544,24.25930172
0.232687179,25.36088357
0.276988669,29.58158192
0.288712276,30.70579059
0.330138472,34.55541859
0.339212724,35.39131693
0.375510808,38.8711665
0.39050346,40.30405253
0.432127228,44.21048285
0.444950676,45.53518156
0.486772826,49.60060635
0.53242719,53.96992476
0.587617327,59.13627885
0.602767137,60.50105989
0.643799634,64.41956926
0.690693189,68.8061013
0.70534861,70.32653108
0.745702946,73.9529638
0.759793849,75.30785706
0.802876622,79.25197164
0.818181812,80.32382494
0.856585685,84.20139664
0.900246613,88.13651222
0.914449695,89.43302647
0.95672094,93.31278711
0.96928891,94.38034619
1.008347791,97.99685646
1.063581559,102.9831643
1.077783794,104.1726201
1.112953691,107.4284551
1.128283163,108.7218902
1.157506679,111.3892801
1.172470496,112.7511645
1.218827117,116.8991698
1.234016082,118.2298925
1.27189077,121.6621117
1.283726601,122.7336284
1.32896541,126.7825219
1.342115912,127.9199165
1.378938399,131.2408775
1.391826431,132.4236523
1.434437431,136.5346114
1.460477629,139.0648425
1.484936922,141.0992915
1.498086809,142.1588254
1.537276745,145.7299362
