BSA (m^2),"RVEDV, -2 SD (mL)"
0.220447204,-9.994222163
0.235180772,-8.597956801
0.271423618,-5.231405872
0.284686581,-3.866168628
0.327117604,0.089916565
0.341261278,1.40861163
0.383692956,5.390553589
0.396954084,6.683391888
0.432311414,9.906868712
0.447339819,11.33760976
0.487370679,15.03882112
0.537127053,19.71520194
0.55164868,21.033897
0.593700627,24.94565631
0.60645763,26.23110696
0.644669713,29.97171911
0.658029702,31.29903309
0.695753374,35.09997769
0.710487597,36.52209982
0.747571494,40.59712614
0.760595092,41.79688008
0.800079271,45.46854084
0.81481677,47.0199468
0.847823263,50.27789932
0.867274009,52.21715676
0.903743421,55.82417562
0.92121974,58.15128455
0.955934403,60.87178572
0.970708842,62.22372519
1.009483788,66.08007715
1.027595848,68.2224949
1.061998506,71.47398322
1.075039325,72.77328571
1.113944257,76.78754863
1.127204566,78.04806597
1.157667742,81.47839692
1.174361941,82.90913797
1.218719617,87.49224974
1.229771267,88.59762648
1.268382072,92.60542521
1.281647786,94.07926087
1.319962399,97.99914659
1.334697539,99.45746819
1.369730454,103.1365166
1.38450714,104.5771079
1.426068065,108.9986148
1.437562135,110.1621693
1.475288428,114.066541
1.487959663,115.281809
1.524845965,119.1824868
1.539248254,120.7634434
