BSA (m^2),"RVEDV, +2 SD (mL)"
0.222143556,25.04815992
0.235184048,26.33453403
0.277108232,30.17611068
0.290874233,31.50588722
0.326230471,34.68626943
0.341258657,36.10839156
0.382806479,40.01276322
0.396950808,41.35731506
0.431719119,44.53769727
0.444686938,45.85639233
0.476685738,48.79009288
0.494777398,50.45889668
0.537503696,54.4666954
0.553417049,56.01810136
0.593195191,59.68976213
0.606456319,60.98260043
0.646618218,64.88327827
0.660385343,66.25738069
0.698406692,70.20484696
0.711668694,71.53216094
0.750949263,75.45500172
0.763833935,76.8069412
0.803239366,80.6854561
0.816881068,82.08172146
0.853618527,85.63271732
0.867274664,87.04622053
0.904936006,90.70753859
0.919436957,92.20464534
0.957672609,95.90862706
0.971302011,97.23378632
1.013905412,101.3634812
1.024640486,102.4051395
1.062365469,106.2577976
1.075919906,107.5247792
1.115045802,111.5584347
1.127203256,112.7995594
1.166107369,116.7815014
1.178486606,118.0743397
1.218495868,122.1661729
1.229766025,123.1939794
1.270146509,127.434489
1.283117605,128.8824679
1.321854113,132.8791851
1.334400955,134.1572481
1.375664453,138.4420836
1.387159365,139.6388825
1.425436552,143.7390268
1.438446647,145.0688034
1.477353053,149.141244
1.487964249,150.2660133
1.526237223,154.1999356
1.539247599,155.5407936
1.572849882,159.1090273
