Age (days),"RVESV, mean (mL)","RVESV, +1 SD (mL)","RVESV, -1 SD (mL)"
0,2.222853179,3.502853179,0.942853179
15.20833333,1.996364212,3.276364212,0.716364212
45.625,2.145985763,3.425985763,0.865985763
76.04166667,2.503744283,3.783744283,1.223744283
106.4583333,2.864984084,4.144984084,1.584984084
136.875,3.227149161,4.507149161,1.947149161
167.2916667,3.587989967,4.867989967,2.307989967
197.7083333,3.957815496,5.237815496,2.677815496
228.125,4.312945028,5.592945028,3.032945028
258.5416667,4.659394169,5.939394169,3.379394169
288.9583333,4.99460336,6.27460336,3.71460336
319.375,5.294180598,6.574180598,4.014180598
349.7916667,5.567826314,6.847826314,4.287826314
380.2083333,5.834097426,7.114097426,4.554097426
410.625,6.081113679,7.361113679,4.801113679
441.0416667,6.317647574,7.597647574,5.037647574
471.4583333,6.536861468,7.816861468,5.256861468
501.875,6.744556607,8.024556607,5.464556607
532.2916667,6.95466822,8.23466822,5.67466822
562.7083333,7.13881717,8.41881717,5.85881717
593.125,7.329877915,8.609877915,6.049877915
623.5416667,7.500331156,8.780331156,6.220331156
653.9583333,7.689400072,8.969400072,6.409400072
684.375,7.867901104,9.147901104,6.587901104
714.7916667,8.026179491,9.306179491,6.746179491
745.2083333,8.193862465,9.473862465,6.913862465
775.625,8.350072343,9.630072343,7.070072343
806.0416667,8.487902983,9.767902983,7.207902983
836.4583333,8.628375248,9.908375248,7.348375248
866.875,8.770168599,10.0501686,7.490168599
897.2916667,8.933236945,10.21323694,7.653236945
927.7083333,9.106532978,10.38653298,7.826532978
958.125,9.265706812,10.54570681,7.985706812
988.5416667,9.422621401,10.7026214,8.142621401
1018.958333,9.585514249,10.86551425,8.305514249
1049.375,9.773621083,11.05362108,8.493621083
1079.791667,9.965613726,11.24561373,8.685613726
1095,10.05774594,11.33774594,8.77774594
